date,PAYEMS,PAYEMS_previous,UNRATE,UNRATE_previous
2000-01-01,131009,,4.0,
2000-02-01,131120,131009.0,4.1,4.0
2000-03-01,131604,131120.0,4.0,4.1
2000-04-01,131883,131604.0,3.8,4.0
2000-05-01,132106,131883.0,4.0,3.8
2000-06-01,132060,132106.0,4.0,4.0
2000-07-01,132228,132060.0,4.0,4.0
2000-08-01,132231,132228.0,4.1,4.0
2000-09-01,132357,132231.0,3.9,4.1
2000-10-01,132352,132357.0,3.9,3.9
2000-11-01,132553,132352.0,3.9,3.9
2000-12-01,132718,132553.0,3.9,3.9
2001-01-01,132699,132718.0,4.2,3.9
2001-02-01,132786,132699.0,4.2,4.2
2001-03-01,132751,132786.0,4.3,4.2
2001-04-01,132455,132751.0,4.4,4.3
2001-05-01,132411,132455.0,4.3,4.4
2001-06-01,132296,132411.0,4.5,4.3
2001-07-01,132173,132296.0,4.6,4.5
2001-08-01,132024,132173.0,4.9,4.6
2001-09-01,131765,132024.0,5.0,4.9
2001-10-01,131452,131765.0,5.3,5.0
2001-11-01,131141,131452.0,5.5,5.3
2001-12-01,130984,131141.0,5.7,5.5
2002-01-01,130853,130984.0,5.7,5.7
2002-02-01,130732,130853.0,5.7,5.7
2002-03-01,130720,130732.0,5.7,5.7
2002-04-01,130616,130720.0,5.9,5.7
2002-05-01,130632,130616.0,5.8,5.9
2002-06-01,130682,130632.0,5.8,5.8
2002-07-01,130585,130682.0,5.8,5.8
2002-08-01,130587,130585.0,5.7,5.8
2002-09-01,130498,130587.0,5.7,5.7
2002-10-01,130621,130498.0,5.7,5.7
2002-11-01,130617,130621.0,5.9,5.7
2002-12-01,130469,130617.0,6.0,5.9
2003-01-01,130580,130469.0,5.8,6.0
2003-02-01,130443,130580.0,5.9,5.8
2003-03-01,130232,130443.0,5.9,5.9
2003-04-01,130176,130232.0,6.0,5.9
2003-05-01,130196,130176.0,6.1,6.0
2003-06-01,130192,130196.0,6.3,6.1
2003-07-01,130184,130192.0,6.2,6.3
2003-08-01,130153,130184.0,6.1,6.2
2003-09-01,130252,130153.0,6.1,6.1
2003-10-01,130439,130252.0,6.0,6.1
2003-11-01,130482,130439.0,5.8,6.0
2003-12-01,130594,130482.0,5.7,5.8
2004-01-01,130766,130594.0,5.7,5.7
2004-02-01,130822,130766.0,5.6,5.7
2004-03-01,131139,130822.0,5.8,5.6
2004-04-01,131409,131139.0,5.6,5.8
2004-05-01,131693,131409.0,5.6,5.6
2004-06-01,131789,131693.0,5.6,5.6
2004-07-01,131850,131789.0,5.5,5.6
2004-08-01,131936,131850.0,5.4,5.5
2004-09-01,132083,131936.0,5.4,5.4
2004-10-01,132435,132083.0,5.5,5.4
2004-11-01,132509,132435.0,5.4,5.5
2004-12-01,132633,132509.0,5.4,5.4
2005-01-01,132779,132633.0,5.3,5.4
2005-02-01,133033,132779.0,5.4,5.3
2005-03-01,133154,133033.0,5.2,5.4
2005-04-01,133515,133154.0,5.2,5.2
2005-05-01,133687,133515.0,5.1,5.2
2005-06-01,133939,133687.0,5.0,5.1
2005-07-01,134297,133939.0,5.0,5.0
2005-08-01,134495,134297.0,4.9,5.0
2005-09-01,134552,134495.0,5.0,4.9
2005-10-01,134646,134552.0,5.0,5.0
