Expected Impact / Date,Actual,Forecast,Previous
" Nov 1, 2024",4.10%,4.10%,4.10%
" Oct 4, 2024",4.10%,4.20%,4.20%
" Sep 6, 2024",4.20%,4.20%,4.30%
" Aug 2, 2024",4.30%,4.10%,4.10%
" Jul 5, 2024",4.10%,4.00%,4.00%
" Jun 7, 2024",4.00%,3.90%,3.90%
" May 3, 2024",3.90%,3.80%,3.80%
" Apr 5, 2024",3.80%,3.90%,3.90%
" Mar 8, 2024",3.90%,3.70%,3.70%
" Feb 2, 2024",3.70%,3.80%,3.70%
" Jan 5, 2024",3.70%,3.80%,3.70%
" Dec 8, 2023",3.70%,3.90%,3.90%
" Nov 3, 2023",3.90%,3.80%,3.80%
" Oct 6, 2023",3.80%,3.70%,3.80%
" Sep 1, 2023",3.80%,3.50%,3.50%
" Aug 4, 2023",3.50%,3.60%,3.60%
" Jul 7, 2023",3.60%,3.60%,3.70%
" Jun 2, 2023",3.70%,3.50%,3.40%
" May 5, 2023",3.40%,3.60%,3.50%
" Apr 7, 2023",3.50%,3.60%,3.60%
" Mar 10, 2023",3.60%,3.40%,3.40%
" Feb 3, 2023",3.40%,3.60%,3.50%
" Jan 6, 2023",3.50%,3.70%,3.70%
" Dec 2, 2022",3.70%,3.70%,3.70%
" Nov 4, 2022",3.70%,3.60%,3.50%
" Oct 7, 2022",3.50%,3.70%,3.70%
" Sep 2, 2022",3.70%,3.50%,3.50%
" Aug 5, 2022",3.50%,3.60%,3.60%
" Jul 8, 2022",3.60%,3.60%,3.60%
" Jun 3, 2022",3.60%,3.50%,3.60%
" May 6, 2022",3.60%,3.50%,3.60%
" Apr 1, 2022",3.60%,3.70%,3.80%
" Mar 4, 2022",3.80%,3.90%,4.00%
" Feb 4, 2022",4.00%,3.90%,3.90%
" Jan 7, 2022",3.90%,4.10%,4.20%
" Dec 3, 2021",4.20%,4.50%,4.60%
" Nov 5, 2021",4.60%,4.70%,4.80%
" Oct 8, 2021",4.80%,5.10%,5.20%
" Sep 3, 2021",5.20%,5.20%,5.40%
" Aug 6, 2021",5.40%,5.70%,5.90%
" Jul 2, 2021",5.90%,5.60%,5.80%
" Jun 4, 2021",5.80%,5.90%,6.10%
" May 7, 2021",6.10%,5.80%,6.00%
" Apr 2, 2021",6.00%,6.00%,6.20%
" Mar 5, 2021",6.20%,6.30%,6.30%
" Feb 5, 2021",6.30%,6.70%,6.70%
" Jan 8, 2021",6.70%,6.80%,6.70%
" Dec 4, 2020",6.70%,6.80%,6.90%
" Nov 6, 2020",6.90%,7.70%,7.90%
" Oct 2, 2020",7.90%,8.20%,8.40%
" Sep 4, 2020",8.40%,9.80%,10.20%
" Aug 7, 2020",10.20%,10.50%,11.10%
" Jul 2, 2020",11.10%,12.40%,13.30%
" Jun 5, 2020",13.30%,19.40%,14.70%
" May 8, 2020",14.70%,16.00%,4.40%
" Apr 3, 2020",4.40%,3.80%,3.50%
" Mar 6, 2020",3.50%,3.60%,3.60%
