Time,Currency,Event,Forecast,Actual,Previous
31/10/2019 08:00,JPY,Consumer Confidence,35.3,36.2,35.6
31/10/2019 08:02,JPY,Housing Starts y/y,-6.6%,-4.9%,-7.1%
31/10/2019 09:30,JPY,BOJ Press Conference,unknown,unknown,unknown
31/10/2019 10:00,EUR,German Retail Sales m/m,0.3%,0.1%,-0.1%
31/10/2019 10:45,EUR,French Prelim CPI m/m,0.1%,-0.1%,-0.3%
31/10/2019 11:00,EUR,Spanish Flash GDP q/q,0.4%,0.4%,0.4%
31/10/2019 12:00,EUR,Italian Monthly Unemployment Rate,9.6%,9.9%,9.6%
31/10/2019 13:00,EUR,CPI Flash Estimate y/y,0.7%,0.7%,0.8%
31/10/2019 13:00,EUR,Core CPI Flash Estimate y/y,1.0%,1.1%,1.0%
31/10/2019 13:00,EUR,Italian Prelim CPI m/m,-0.1%,0.0%,-0.6%
31/10/2019 13:00,EUR,Prelim Flash GDP q/q,0.1%,0.2%,0.2%
31/10/2019 13:00,EUR,Unemployment Rate,7.4%,7.5%,7.5%
31/10/2019 14:00,EUR,Italian Prelim GDP q/q,0.0%,0.1%,0.1%
31/10/2019 14:30,USD,Challenger Job Cuts y/y,unknown,-33.5%,-24.8%
31/10/2019 15:30,CAD,GDP m/m,0.2%,0.1%,0.0%
31/10/2019 15:30,CAD,RMPI m/m,2.5%,0.0%,-1.8%
31/10/2019 15:30,CAD,IPPI m/m,0.2%,-0.1%,0.2%
31/10/2019 15:30,USD,Core PCE Price Index m/m,0.1%,0.0%,0.1%
31/10/2019 15:30,USD,Employment Cost Index q/q,0.7%,0.7%,0.6%
31/10/2019 15:30,USD,Personal Spending m/m,0.3%,0.2%,0.2%
31/10/2019 15:30,USD,Personal Income m/m,0.3%,0.3%,0.5%
31/10/2019 15:30,USD,Unemployment Claims,215K,218K,213K
31/10/2019 16:45,USD,Chicago PMI,48.4,43.2,47.1
31/10/2019 17:30,USD,Natural Gas Storage,47B,89B,87B
31/10/2019 18:30,CHF,SNB Chairman Jordan Speaks,unknown,unknown,unknown
01/11/2019 00:30,AUD,AIG Manufacturing Index,unknown,51.6,54.7
01/11/2019 02:30,JPY,Unemployment Rate,2.2%,2.4%,2.2%
01/11/2019 03:30,AUD,PPI q/q,0.4%,0.4%,0.4%
01/11/2019 03:30,JPY,Final Manufacturing PMI,48.5,48.4,48.5
01/11/2019 04:45,CNY,Caixin Manufacturing PMI,51.0,51.7,51.4
01/11/2019 08:30,AUD,Commodity Prices y/y,unknown,-4.2%,0.3%
01/11/2019 00:00,EUR,French Bank Holiday,unknown,unknown,unknown
01/11/2019 00:00,EUR,Italian Bank Holiday,unknown,unknown,unknown
01/11/2019 10:30,CHF,CPI m/m,0.0%,-0.2%,-0.1%
01/11/2019 10:30,CHF,Retail Sales y/y,-0.7%,0.9%,-1.0%
01/11/2019 11:30,CHF,Manufacturing PMI,45.3,49.4,44.6
01/11/2019 12:30,GBP,Final Manufacturing PMI,48.2,49.6,48.3
01/11/2019 15:30,USD,Average Hourly Earnings m/m,0.3%,0.2%,0.0%
01/11/2019 15:30,USD,Non-Farm Employment Change,90K,128K,180K
01/11/2019 15:30,USD,Unemployment Rate,3.6%,3.6%,3.5%
01/11/2019 16:30,CAD,Manufacturing PMI,unknown,51.2,51.0
01/11/2019 16:45,USD,Final Manufacturing PMI,51.5,51.3,51.5
01/11/2019 17:00,USD,ISM Manufacturing PMI,49.0,48.3,47.8
01/11/2019 17:00,USD,Construction Spending m/m,0.2%,0.5%,-0.3%
01/11/2019 17:00,USD,ISM Manufacturing Prices,50.1,45.5,49.7
01/11/2019 00:00,USD,Wards Total Vehicle Sales,17.0M,16.6M,17.2M
01/11/2019 20:00,USD,FOMC Member Clarida Speaks,unknown,unknown,unknown
01/11/2019 20:00,USD,FOMC Member Quarles Speaks,unknown,unknown,unknown
01/11/2019 21:30,USD,FOMC Member Williams Speaks,unknown,unknown,unknown
03/11/2019 09:00,CAD,Daylight Saving Time Shift,unknown,unknown,unknown
03/11/2019 09:00,USD,Daylight Saving Time Shift,unknown,unknown,unknown
04/11/2019 02:00,AUD,MI Inflation Gauge m/m,unknown,0.1%,0.1%
03/11/2019 00:00,JPY,Bank Holiday,unknown,unknown,unknown
04/11/2019 02:30,AUD,Retail Sales m/m,0.4%,0.2%,0.4%
04/11/2019 02:30,AUD,ANZ Job Advertisements m/m,unknown,-1.0%,0.3%
04/11/2019 08:45,CHF,SECO Consumer Climate,-8,-10,-8
04/11/2019 10:15,EUR,Spanish Manufacturing PMI,47.5,46.8,47.7
04/11/2019 10:45,EUR,Italian Manufacturing PMI,47.6,47.7,47.8
04/11/2019 10:50,EUR,French Final Manufacturing PMI,50.5,50.7,50.5
04/11/2019 10:55,EUR,German Final Manufacturing PMI,41.9,42.1,41.9
04/11/2019 11:00,EUR,Final Manufacturing PMI,45.7,45.9,45.7
04/11/2019 11:30,EUR,Sentix Investor Confidence,-13.2,-4.5,-16.8
