Expected Impact / Date,Actual,Forecast,Previous
" Nov 1, 2024",12K,106K,223K
" Oct 4, 2024",254K,147K,159K
" Sep 6, 2024",142K,164K,89K
" Aug 2, 2024",114K,176K,179K
" Jul 5, 2024",206K,191K,218K
" Jun 7, 2024",272K,182K,165K
" May 3, 2024",175K,238K,315K
" Apr 5, 2024",303K,212K,270K
" Mar 8, 2024",275K,198K,229K
" Feb 2, 2024",353K,187K,333K
" Jan 5, 2024",216K,168K,173K
" Dec 8, 2023",199K,184K,150K
" Nov 3, 2023",150K,178K,297K
" Oct 6, 2023",336K,171K,227K
" Sep 1, 2023",187K,169K,157K
" Aug 4, 2023",187K,205K,185K
" Jul 7, 2023",209K,224K,306K
" Jun 2, 2023",339K,193K,294K
" May 5, 2023",253K,181K,165K
" Apr 7, 2023",236K,228K,326K
" Mar 10, 2023",311K,224K,504K
" Feb 3, 2023",517K,193K,260K
" Jan 6, 2023",223K,200K,256K
" Dec 2, 2022",263K,200K,284K
" Nov 4, 2022",261K,197K,315K
" Oct 7, 2022",263K,248K,315K
" Sep 2, 2022",315K,295K,526K
" Aug 5, 2022",528K,250K,398K
" Jul 8, 2022",372K,260K,384K
" Jun 3, 2022",390K,325K,436K
" May 6, 2022",428K,390K,428K
" Apr 1, 2022",431K,492K,750K
" Mar 4, 2022",678K,407K,481K
" Feb 4, 2022",467K,110K,510K
" Jan 7, 2022",199K,426K,249K
" Dec 3, 2021",210K,553K,546K
" Nov 5, 2021",531K,455K,312K
" Oct 8, 2021",194K,490K,366K
" Sep 3, 2021",235K,720K,1053K
" Aug 6, 2021",943K,870K,938K
" Jul 2, 2021",850K,725K,583K
" Jun 4, 2021",559K,645K,278K
" May 7, 2021",266K,990K,770K
" Apr 2, 2021",916K,652K,468K
" Mar 5, 2021",379K,197K,166K
" Feb 5, 2021",49K,85K,-227K
" Jan 8, 2021",-140K,60K,336K
" Dec 4, 2020",245K,480K,610K
" Nov 6, 2020",638K,595K,672K
" Oct 2, 2020",661K,900K,1489K
" Sep 4, 2020",1371K,1375K,1734K
" Aug 7, 2020",1763K,1530K,4791K
" Jul 2, 2020",4800K,3037K,2699K
" Jun 5, 2020",2509K,-7750K,-20687K
" May 8, 2020",-20537K,-22000K,-881K
" Apr 3, 2020",-701K,-100K,275K
" Mar 6, 2020",273K,175K,273K
" Feb 7, 2020",225K,163K,147K
" Jan 10, 2020",145K,162K,256K
" Dec 6, 2019",266K,181K,156K
" Nov 1, 2019",128K,90K,180K
" Oct 4, 2019",136K,145K,168K
" Sep 6, 2019",130K,163K,159K
" Aug 2, 2019",164K,164K,193K
" Jul 5, 2019",224K,162K,72K
" Jun 7, 2019",75K,177K,224K
" May 3, 2019",263K,181K,189K
" Apr 5, 2019",196K,172K,33K
" Mar 8, 2019",20K,180K,311K
" Feb 1, 2019",304K,165K,222K
" Jan 4, 2019",312K,179K,176K
" Dec 7, 2018",155K,198K,237K
" Nov 2, 2018",250K,194K,118K
" Oct 5, 2018",134K,185K,270K
" Sep 7, 2018",201K,191K,147K
" Aug 3, 2018",157K,191K,248K
" Jul 6, 2018",213K,195K,244K
" Jun 1, 2018",223K,189K,159K
" May 4, 2018",164K,190K,135K
" Apr 6, 2018",103K,188K,326K
" Mar 9, 2018",313K,205K,239K
" Feb 2, 2018",200K,181K,160K
" Jan 5, 2018",148K,190K,252K
" Dec 8, 2017",228K,198K,244K
" Nov 3, 2017",261K,312K,18K
" Oct 6, 2017",-33K,82K,169K
" Sep 1, 2017",156K,180K,189K
" Aug 4, 2017",209K,182K,231K
" Jul 7, 2017",222K,175K,152K
" Jun 2, 2017",138K,181K,174K
" May 5, 2017",211K,194K,79K
" Apr 7, 2017",98K,174K,219K
" Mar 10, 2017",235K,196K,238K
" Feb 3, 2017",227K,170K,157K
" Jan 6, 2017",156K,175K,204K
" Dec 2, 2016",178K,177K,142K
" Nov 4, 2016",161K,174K,191K
" Oct 7, 2016",156K,171K,167K
" Sep 2, 2016",151K,180K,275K
" Aug 5, 2016",255K,180K,292K
" Jul 8, 2016",287K,175K,11K
" Jun 3, 2016",38K,159K,123K
" May 6, 2016",160K,203K,208K
" Apr 1, 2016",215K,206K,245K
" Mar 4, 2016",242K,195K,172K
" Feb 5, 2016",151K,189K,262K
" Jan 8, 2016",292K,203K,252K
" Dec 4, 2015",211K,201K,298K
" Nov 6, 2015",271K,181K,137K
" Oct 2, 2015",142K,201K,136K
" Sep 4, 2015",173K,215K,245K
" Aug 7, 2015",215K,222K,231K
" Jul 2, 2015",223K,231K,254K
" Jun 5, 2015",280K,222K,221K
" May 8, 2015",223K,228K,85K
" Apr 3, 2015",126K,246K,264K
" Mar 6, 2015",295K,240K,239K
" Feb 6, 2015",257K,236K,329K
" Jan 9, 2015",252K,241K,353K
" Dec 5, 2014",321K,231K,243K
" Nov 7, 2014",214K,235K,256K
" Oct 3, 2014",248K,216K,180K
" Sep 5, 2014",142K,226K,212K
" Aug 1, 2014",209K,231K,298K
" Jul 3, 2014",288K,214K,224K
" Jun 6, 2014",217K,214K,282K
" May 2, 2014",288K,216K,203K
" Apr 4, 2014",192K,199K,197K
" Mar 7, 2014",175K,151K,129K
" Feb 7, 2014",113K,185K,75K
" Jan 10, 2014",74K,196K,241K
" Dec 6, 2013",203K,180K,200K
" Nov 8, 2013",204K,121K,163K
" Oct 22, 2013",148K,182K,193K
" Sep 6, 2013",169K,178K,104K
" Aug 2, 2013",162K,184K,188K
" Jul 5, 2013",195K,163K,195K
" Jun 7, 2013",175K,167K,149K
" May 3, 2013",165K,146K,138K
" Apr 5, 2013",88K,198K,268K
" Mar 8, 2013",236K,162K,119K
" Feb 1, 2013",157K,161K,196K
" Jan 4, 2013",155K,150K,161K
" Dec 7, 2012",146K,89K,138K
" Nov 2, 2012",171K,123K,148K
" Oct 5, 2012",114K,114K,142K
" Sep 7, 2012",96K,123K,141K
" Aug 3, 2012",163K,101K,64K
" Jul 6, 2012",80K,97K,77K
" Jun 1, 2012",69K,151K,77K
" May 4, 2012",115K,173K,154K
" Apr 6, 2012",120K,207K,240K
" Mar 9, 2012",227K,209K,284K
" Feb 3, 2012",243K,150K,203K
" Jan 6, 2012",200K,152K,100K
" Dec 2, 2011",120K,126K,100K
" Nov 4, 2011",80K,97K,158K
" Oct 7, 2011",103K,55K,57K
" Sep 2, 2011",0K,74K,85K
" Aug 5, 2011",117K,89K,46K
" Jul 8, 2011",18K,97K,25K
" Jun 3, 2011",54K,161K,232K
" May 6, 2011",244K,185K,221K
" Apr 1, 2011",216K,191K,194K
" Mar 4, 2011",192K,191K,63K
" Feb 4, 2011",36K,138K,121K
" Jan 7, 2011",103K,159K,71K
" Dec 3, 2010",39K,143K,172K
" Nov 5, 2010",151K,63K,-41K
" Oct 8, 2010",-95K,1K,-57K
" Sep 3, 2010",-54K,-101K,-54K
" Aug 6, 2010",-131K,-63K,-221K
" Jul 2, 2010",-125K,-106K,433K
" Jun 4, 2010",431K,521K,290K
" May 7, 2010",290K,198K,230K
" Apr 2, 2010",162K,185K,-14K
" Mar 5, 2010",-36K,-56K,-26K
" Feb 5, 2010",-20K,10K,-150K
" Jan 8, 2010",-85K,-3K,4K
" Dec 4, 2009",-11K,-119K,-111K
" Nov 6, 2009",-190K,-173K,-219K
" Oct 2, 2009",-263K,-179K,-201K
" Sep 4, 2009",-216K,-223K,-276K
" Aug 7, 2009",-247K,-320K,-443K
" Jul 2, 2009",-467K,-360K,-322K
" Jun 5, 2009",-345K,-520K,-504K
" May 8, 2009",-539K,-590K,-699K
" Apr 3, 2009",-663K,-659K,-651K
" Mar 6, 2009",-651K,-647K,-655K
" Feb 6, 2009",-598K,-530K,-577K
" Jan 9, 2009",-524K,-520K,-584K
" Dec 5, 2008",-533K,-320K,-320K
" Nov 7, 2008",-240K,-200K,-284K
" Oct 3, 2008",-159K,-100K,-73K
" Sep 5, 2008",-84K,-73K,-60K
" Aug 1, 2008",-51K,-75K,-51K
" Jul 3, 2008",-62K,-60K,-62K
" Jun 6, 2008",-49K,-57K,-28K
" May 2, 2008",-20K,-80K,-81K
" Apr 4, 2008",-80K,-50K,-76K
" Mar 7, 2008",-63K,25K,-22K
" Feb 1, 2008",-17K,65K,82K
" Jan 4, 2008",18K,70K,115K
" Dec 7, 2007",94K,75K,170K
" Nov 2, 2007",166K,82K,96K
" Oct 5, 2007",110K,100K,89K
" Sep 7, 2007",-4K,110K,68K
" Aug 3, 2007",92K,135K,126K
" Jul 6, 2007",132K,125K,190K
" Jun 1, 2007",157K,135K,80K
" May 4, 2007",88K,107K,177K
" Apr 6, 2007",180K,135K,113K
" Mar 9, 2007",97K,100K,146K
" Feb 2, 2007",111K,146K,206K
" Jan 5, 2007",167K,115K,132K
